date,time,ax,ay,az,temp,hum,gas,heart,ir,flame,status
2025-10-29,20:43:27,-3740,15572,-4460,31.00,71.30,1235,95.00,1,1,SAFE
2025-10-29,20:43:28,-4660,12840,-4376,31.00,71.30,1241,93.00,1,1,SAFE
2025-10-29,20:43:29,-1172,14128,-6672,31.00,71.30,1275,98.00,1,1,SAFE
2025-10-29,20:43:30,-4464,14328,-5052,31.00,71.20,1335,84.00,1,1,SAFE
2025-10-29,20:43:31,-2672,13228,-5520,31.00,71.20,1355,130.00,1,1,UNSAFE
2025-10-29,20:43:32,-1956,14268,-9304,31.00,71.10,1263,50.00,1,1,UNSAFE
2025-10-29,20:43:33,-4692,11148,-11116,31.00,71.10,1230,50.00,0,0,UNSAFE
2025-10-29,20:43:34,-4024,13336,-9156,31.00,71.00,1309,105.00,0,0,UNSAFE
2025-10-29,20:43:35,-4080,13392,-9368,31.00,71.00,1374,100.00,0,0,UNSAFE
2025-10-29,20:43:36,-4172,13284,-9344,31.00,70.90,1298,98.00,0,0,UNSAFE
2025-10-29,20:43:37,-4132,13204,-9388,31.00,70.90,1311,102.00,0,0,UNSAFE
2025-10-29,20:43:38,-3964,13352,-9356,31.00,70.90,1297,97.00,0,0,UNSAFE
2025-10-29,20:43:39,-4024,13336,-9420,31.00,70.90,1296,93.00,0,0,UNSAFE
2025-10-29,20:43:40,-4060,13164,-9396,31.00,70.80,1296,96.00,0,0,UNSAFE
2025-10-29,20:43:41,-4060,13356,-9328,31.00,70.80,1297,103.00,0,0,UNSAFE
2025-10-29,20:43:42,-3500,14852,-8372,30.90,70.80,1295,107.00,0,1,UNSAFE
2025-10-29,20:43:43,-3660,13024,-10152,30.90,70.80,1296,52.00,0,1,UNSAFE
2025-10-29,20:43:44,-3996,12864,-10252,30.90,70.80,1298,101.00,1,1,SAFE
2025-10-29,20:43:45,-3568,12900,-10168,30.90,70.80,1296,99.00,1,1,SAFE
2025-10-29,20:43:46,-3500,12852,-10180,30.90,70.80,1313,100.00,1,1,SAFE
2025-10-29,20:43:47,-3472,12880,-10200,30.90,70.80,1313,99.00,1,1,SAFE
2025-10-29,20:43:48,-3608,12884,-10264,30.90,70.90,1285,99.00,1,1,SAFE
2025-10-29,20:43:49,-1508,6276,-9452,30.90,70.90,1365,132.00,1,1,UNSAFE
2025-10-29,20:43:50,-3620,12796,-10352,30.90,70.90,1350,131.00,0,1,UNSAFE
2025-10-29,20:43:51,-3400,12756,-10332,30.90,70.90,1336,96.00,0,1,UNSAFE
2025-10-29,20:43:52,-3656,13316,-9876,30.90,70.90,1343,126.00,1,1,UNSAFE
2025-10-29,20:43:53,-3448,12644,-10676,30.90,70.90,1292,91.00,1,1,SAFE
2025-10-29,20:43:54,-3280,12556,-10656,30.90,71.10,1313,98.00,1,1,SAFE
2025-10-29,20:43:55,-3372,12620,-10748,30.90,71.10,1318,99.00,1,1,SAFE
2025-10-29,20:43:56,-3264,12564,-10704,30.90,71.10,1335,99.00,1,1,SAFE
2025-10-29,20:43:57,-3372,12496,-10804,30.90,71.10,1335,101.00,1,1,SAFE
2025-10-29,20:43:58,-3304,12468,-10776,30.80,71.10,1337,99.00,1,1,SAFE
2025-10-29,20:43:59,-3324,12644,-10644,30.80,71.10,1329,102.00,0,1,UNSAFE
2025-10-29,20:44:00,-3364,12556,-10764,30.90,71.10,1301,100.00,0,1,UNSAFE
2025-10-29,20:44:01,-3316,12608,-10792,30.90,71.10,1325,101.00,0,1,UNSAFE
2025-10-29,20:44:02,-3276,12508,-10752,30.80,71.20,1327,101.00,0,1,UNSAFE
2025-10-29,20:44:03,-3320,12500,-10796,30.80,71.20,1327,101.00,0,1,UNSAFE
2025-10-29,20:44:04,-3296,12536,-10872,30.80,71.30,1328,101.00,0,1,UNSAFE
2025-10-29,20:44:05,-3360,12564,-10868,30.80,71.30,1360,101.00,0,1,UNSAFE
2025-10-29,20:44:06,-3332,12548,-10820,30.80,71.30,1323,101.00,0,1,UNSAFE
2025-10-29,20:44:07,-3312,12540,-10740,30.80,71.30,1315,100.00,0,1,UNSAFE
2025-10-29,20:44:08,-3304,12492,-10884,30.70,71.30,1319,101.00,1,1,SAFE
2025-10-29,20:44:09,-3296,12504,-10812,30.70,71.30,1299,101.00,1,1,SAFE
2025-10-29,20:44:10,-3376,12444,-10620,30.80,71.40,1328,104.00,1,1,SAFE
2025-10-29,20:44:11,-3372,12480,-10900,30.80,71.40,1312,97.00,1,1,SAFE
2025-10-29,20:44:12,-3312,12652,-10848,30.70,71.40,1313,102.00,1,1,SAFE
2025-10-29,20:44:13,-3348,12556,-10840,30.70,71.40,1315,101.00,1,1,SAFE
2025-10-29,20:44:14,-3320,12492,-10836,30.70,71.40,1324,100.00,1,1,SAFE
2025-10-29,20:44:15,-3224,12496,-10840,30.70,71.40,1310,101.00,1,1,SAFE
2025-10-29,20:44:16,-3316,12528,-10852,30.70,71.40,1293,100.00,1,1,SAFE
2025-10-29,20:44:17,-3380,12596,-10804,30.70,71.40,1274,101.00,1,1,SAFE
2025-10-29,20:44:18,-3352,12444,-10912,30.70,71.50,1291,101.00,1,1,SAFE
2025-10-29,20:44:19,-3348,12584,-10780,30.70,71.50,1298,101.00,1,1,SAFE
2025-10-29,20:44:20,-3308,12528,-10936,30.70,71.60,1297,101.00,1,1,SAFE
2025-10-29,20:44:21,-3328,12460,-10840,30.70,71.60,1297,101.00,1,1,SAFE
2025-10-29,20:44:22,-3276,12464,-10800,30.70,71.60,1296,101.00,1,1,SAFE
2025-10-29,20:44:23,-3316,12504,-10840,30.70,71.60,1309,101.00,1,1,SAFE
2025-10-29,20:44:24,-3432,12568,-10784,30.70,71.70,1312,101.00,1,1,SAFE
2025-10-29,20:44:25,-3348,12464,-10776,30.70,71.70,1310,101.00,1,1,SAFE
2025-10-29,20:44:26,-3272,12532,-10800,30.70,71.70,1308,100.00,1,1,SAFE
2025-10-29,20:44:27,-3344,12540,-10772,30.70,71.70,1407,101.00,1,1,SAFE
2025-10-29,20:44:28,-3288,12528,-10880,30.70,71.70,1310,101.00,1,1,SAFE
2025-10-29,20:44:29,-3396,12460,-10920,30.70,71.70,1302,101.00,1,1,SAFE
2025-10-29,20:44:30,-3288,12592,-10820,30.70,71.70,1311,101.00,1,1,SAFE
2025-10-29,20:44:31,-3304,12588,-10844,30.70,71.70,1317,101.00,1,1,SAFE
2025-10-29,20:44:32,-3300,12536,-10840,30.60,71.70,1325,101.00,1,1,SAFE
2025-10-29,20:44:33,-3328,12500,-10832,30.60,71.70,1316,100.00,1,1,SAFE
2025-10-29,20:44:34,-3392,12488,-10756,30.60,71.70,1317,101.00,1,1,SAFE
2025-10-29,20:44:35,-3392,12560,-10800,30.60,71.70,1313,101.00,1,1,SAFE
2025-10-29,20:44:36,-3356,12456,-10792,30.70,71.70,1313,100.00,1,1,SAFE
2025-10-29,20:44:37,-3248,12428,-10888,30.70,71.70,1312,101.00,1,1,SAFE
2025-10-29,20:44:38,-3424,12424,-10796,30.60,71.70,1310,101.00,1,1,SAFE
2025-10-29,20:44:39,-3352,12492,-10836,30.60,71.70,1313,101.00,1,1,SAFE
2025-10-29,20:44:40,-3204,12484,-10812,30.60,71.70,1315,100.00,1,1,SAFE
2025-10-29,20:44:41,-3248,12444,-10840,30.60,71.70,1314,101.00,1,1,SAFE
2025-10-29,20:44:42,-3340,12516,-10876,30.60,71.80,1317,101.00,1,1,SAFE
2025-10-29,20:44:43,-3324,12516,-10732,30.60,71.80,1319,101.00,1,1,SAFE
2025-10-29,20:44:44,-3372,12480,-10872,30.60,71.80,1308,101.00,1,1,SAFE
